80	47391	Male	Greece	true
143	45700	Female	China	false
102	39290	Male	Brazil	true
111	36007	Male	China	false
125	40735	Male	Poland	true
101	36129	Male	Sweden	true
52	34754	Male	Russia	true
21	40180	Female	Russia	false
31	39791	Male	Brazil	true
91	34879	Female	Peru	true
119	47541	Female	Nicaragua	true
126	34220	Male	China	false
37	32617	Female	Russia	true
52	21861	Female	China	true
52	41058	Male	China	true
126	29424	Male	Russia	false
134	45764	Male	South Africa	true
53	23241	Female	Iran	false
130	36509	Female	China	false
46	39485	Female	Indonesia	true
30	21441	Male	Japan	true
67	20031	Male	Indonesia	true
66	46998	Male	Nigeria	false
143	35927	Male	Bosnia and Herzegovina	false
69	37264	Male	Sweden	false
47	41762	Male	Mongolia	true
37	44463	Male	Mexico	true
64	35629	Male	Indonesia	false
52	32222	Male	Estonia	true
82	28394	Female	Portugal	true
60	33131	Male	South Africa	false
37	32228	Male	Czech Republic	true
52	21140	Female	China	false
32	24518	Female	Indonesia	true
119	30306	Male	United States	true
45	26734	Female	Indonesia	true
29	39824	Male	Russia	false
85	26446	Female	Portugal	false
127	38292	Female	Iraq	true
90	32918	Male	Indonesia	false
63	45121	Female	Indonesia	false
73	45131	Female	Russia	false
92	46043	Female	Indonesia	true
68	29222	Male	Greece	false
27	48690	Female	Indonesia	true
115	34200	Male	Indonesia	true
75	21547	Male	Dominican Republic	true
127	43058	Female	Argentina	true
101	29286	Female	China	true
45	27103	Male	Poland	true
32	23497	Male	Indonesia	false
47	21916	Female	Peru	false
25	32895	Female	Russia	true
112	26813	Female	Japan	true
77	36327	Male	South Korea	false
51	40241	Female	China	true
49	29827	Male	Indonesia	true
86	41494	Male	Sweden	true
42	21133	Female	China	false
106	42011	Male	Chile	true
60	34690	Male	China	false
40	42055	Male	Portugal	true
106	34577	Male	Russia	true
100	34927	Male	Sweden	false
125	23415	Female	Russia	true
30	29622	Male	Indonesia	false
94	27305	Male	Philippines	false
96	22506	Female	Russia	false
107	27897	Female	China	true
78	41236	Male	Indonesia	false
83	42825	Male	Indonesia	false
54	47280	Male	Guatemala	true
138	40921	Male	Iran	false
88	31446	Female	China	true
113	45128	Male	Russia	true
60	49671	Male	France	true
108	47464	Male	China	true
118	21458	Female	United States	true
39	20357	Female	Philippines	false
27	35842	Female	Belarus	true
54	30947	Male	Ukraine	true
83	49438	Male	Greece	true
142	47060	Male	Guatemala	false
76	32042	Female	Philippines	true
71	23367	Male	Portugal	true
75	30375	Female	Brazil	true
145	26436	Male	Czech Republic	true
117	49798	Male	China	false
31	40214	Female	China	true
52	22294	Male	Brazil	false
74	36476	Female	Greece	false
141	21015	Female	China	false
95	29469	Female	China	true
97	43859	Female	Colombia	false
21	45689	Male	Poland	false
146	27413	Female	Indonesia	true
121	40284	Female	China	true
102	30612	Female	Belarus	false
77	49495	Male	Japan	true
123	30593	Female	Sweden	false
134	48134	Male	Russia	true
84	49078	Male	Ireland	true
93	49041	Female	Norway	false
24	39237	Male	Libya	true
70	37235	Female	China	true
138	49447	Male	Russia	false
142	40257	Female	Pakistan	false
118	28959	Male	Germany	true
21	21489	Male	China	true
126	24696	Male	Poland	false
42	31326	Male	Czech Republic	false
94	41210	Female	Turkey	false
110	22768	Male	Indonesia	false
37	38851	Female	Indonesia	false
52	39794	Male	Serbia	true
57	49712	Female	Albania	false
147	31816	Male	Indonesia	false
20	47341	Female	Brazil	false
94	29456	Female	China	false
22	38678	Female	Serbia	true
45	39655	Male	Honduras	true
58	22911	Female	China	true
80	26032	Male	China	false
36	37878	Female	Russia	true
108	37631	Female	Australia	true
83	41560	Female	Canada	false
87	28598	Male	Iceland	true
66	28172	Male	China	false
38	22626	Female	Brazil	false
136	40084	Male	Armenia	false
44	39579	Male	Indonesia	false
38	20521	Male	Indonesia	false
124	27672	Male	Czech Republic	true
52	39756	Female	Portugal	true
114	41231	Female	United States	false
108	33080	Male	Brazil	false
88	30161	Female	China	false
119	32463	Female	Indonesia	true
130	39383	Female	China	false
129	46145	Female	Indonesia	true
76	48728	Female	Colombia	false
147	48059	Male	Latvia	false
33	40502	Male	Peru	true
118	40866	Male	Philippines	true
83	42453	Female	Portugal	true
102	35317	Male	Bulgaria	false
38	27173	Male	Canada	true
80	44283	Male	China	true
28	35268	Female	Ukraine	true
93	48852	Female	Brazil	true
20	32942	Female	Indonesia	true
94	21574	Female	Tajikistan	false
122	25216	Male	Brazil	false
139	40916	Male	China	true
123	46857	Female	Colombia	false
137	21106	Male	United States	false
25	32164	Male	Brazil	true
138	24860	Male	Brazil	false
71	44165	Female	Argentina	false
137	32020	Female	France	false
110	36030	Female	China	true
125	40598	Female	Portugal	true
34	38600	Male	China	true
