19,68831,Female,Indonesia,Y
24,20938,Male,unknown,N
21,31636,Male,Greece,N
,,Male,Indonesia,Y
,,Male,Vietnam,Y
,,Male,Philippines,N
29,65040,Male,Iran,Y
29,28791,Male,unknown,N
23,33975,Female,Portugal,Y
23,65229,Male,Netherlands,Y
19,51766,Female,Jordan,Y
27,59980,Male,Indonesia,N
25,31125,Male,Indonesia,N
21,68921,Female,Palestinian Territory,Y
18,32935,Female,Norway,Y
,,Male,Indonesia,Y
28,42825,Male,Argentina,N
22,36976,Female,unknown,N
25,51431,Male,Egypt,N
,,Female,Belarus,Y
21,43125,Female,United States,Y
27,57605,Male,Serbia,Y
30,59810,Female,unknown,Y
19,64231,Male,Indonesia,N
26,43293,Female,Philippines,N
21,50211,Male,Sweden,Y
18,31712,Female,Lesotho,N
20,37023,Male,Sweden,N
18,51040,Male,unknown,Y
19,68960,Female,unknown,N
21,57584,Male,Poland,N
18,51672,Female,Benin,Y
27,59545,Male,Peru,Y
,,Female,Philippines,N
28,20841,Female,Mexico,Y
26,49794,Male,unknown,Y
30,52226,Female,Indonesia,N
29,38890,Male,Indonesia,Y
30,33063,Male,France,N
18,44884,Male,Sweden,N
23,47157,Female,Azerbaijan,Y
21,40302,Female,unknown,N
22,59180,Male,Philippines,Y
,,Female,Nigeria,N
29,22292,Male,Vietnam,N
21,49049,Female,Canada,N
19,54237,Male,Brazil,N
19,48300,Female,unknown,N
27,29961,Female,unknown,N
27,28089,Female,Philippines,Y
,,Female,Botswana,N
19,37081,Female,Indonesia,N
26,44971,Male,Peru,Y
29,55653,Male,Indonesia,N
21,52036,Male,unknown,Y
25,55593,Male,Indonesia,Y
,,Male,Indonesia,Y
18,21409,Female,Russia,Y
27,48297,Female,Ethiopia,Y
30,44228,Male,Indonesia,N
22,63383,Male,Indonesia,N
23,41021,Female,Paraguay,N
28,50648,Female,Norway,Y
30,55717,Male,unknown,Y
,,Male,Greece,N
20,53678,Male,Russia,Y
20,60570,Male,unknown,N
28,49131,Male,unknown,Y
28,45232,Female,Canada,Y
25,34905,Female,unknown,N
27,56805,Male,Russia,N
21,25793,Male,Armenia,Y
24,50119,Female,unknown,Y
22,26404,Male,France,N
28,38995,Female,Japan,N
,,Male,France,N
20,67936,Male,Kenya,Y
27,47158,Female,unknown,N
19,27754,Male,unknown,N
22,27862,Male,unknown,N
,,Female,Indonesia,N
22,39623,Male,Afghanistan,Y
,,Female,Dominican Republic,N
23,21588,Female,Palestinian Territory,Y
23,27680,Male,Colombia,N
30,48302,Male,Austria,Y
22,38987,Female,Madagascar,Y
19,39816,Male,unknown,Y
18,67339,Male,Brazil,Y
30,43064,Male,Honduras,Y
19,29027,Female,Slovenia,Y
19,40177,Female,Japan,N
25,56805,Male,Egypt,N
21,39028,Male,unknown,N
25,55836,Male,Brazil,Y
25,43269,Female,Indonesia,N
29,25734,Female,Colombia,Y
27,42407,Male,Georgia,N
21,42231,Female,Egypt,N
30,40464,Female,Iran,N
19,58802,Male,Indonesia,N
24,58413,Male,Peru,Y
,,Male,Costa Rica,N
25,41303,Female,Uganda,N
19,27638,Male,Brazil,Y
27,61916,Male,Finland,Y
18,36570,Female,Thailand,Y
21,32731,Male,Portugal,N
29,55512,Female,Trinidad and Tobago,Y
25,59963,Male,Brazil,N
27,42970,Male,Philippines,Y
,,Male,unknown,Y
28,44694,Female,United States,N
20,26872,Male,Ukraine,Y
20,56029,Female,Armenia,Y
25,64572,Male,Mexico,Y
19,49700,Male,Portugal,N
19,25121,Female,unknown,N
19,34701,Male,unknown,N
23,59758,Male,Colombia,N
23,55553,Male,unknown,N
27,32063,Female,Finland,N
26,67732,Female,Kyrgyzstan,Y
